nm,exPts,exVar,wk
D.J. Swearinger,0,1.36157048222379e-18,17
DJ Chark Jr.,0,1.47504914462788,17
DK Metcalf,0,1.76030453123842,17
Da'Mari Scott,2.40961543014167,2.6191247819079,17
DaQuan Jones,0,1.36157048222379e-18,17
DaeSean Hamilton,22.365661270962,3.98537879718129,17
Dak Prescott IR,2.73134290468821,1.80507999774223,17
Dallas Cowboys,2.59614488389358,0.579038395809947,17
Dallas Goedert,24.654967750566,2.48993293185114,17
Dalton Schultz,0.193406634834408,0.23351658708602,17
Dalvin Cook,0,2.15476497306887,17
Dalvin Tomlinson,0,1.36157048222379e-18,17
Dalyn Dawkins,2.40000005946979,3.75000009911631,17
Damarious Randall,0,1.36157048222379e-18,17
Damien Harris Q,0.0329670731945585,0.140109756018138,17
Damien Williams,6.965581750526,0.0176925157160042,17
Damien Wilson,0,1.36157048222379e-18,17
Damiere Byrd,8.76317258720912,1.19408131187998,17
Damion Ratley,2.92060183982967,0.585851563092312,17
Damion Square,0,1.36157048222379e-18,17
Damion Willis,0.291757127340777,0.330685400028042,17
Damon Harrison,0,1.36157048222379e-18,17
Damontae Kazee IR,0,1.36157048222379e-18,17
Dan Arnold,6.45384652632394,2.50184475081946,17
Dan Bailey,12.7637422744104,1.00425148854994,17
Daniel Brown,0,1.09223000126565,17
Daniel Carlson,7.68406408628953,0.821595542712273,17
Daniel Jones,32.3472577024145,1.25798844415072,17
Daniel Sorensen,0,1.36157048222379e-18,17
Danielle Hunter IR,0,1.36157048222379e-18,17
Danny Amendola,3.17100264418196,0.678830593047329,17
Danny Shelton,0,1.36157048222379e-18,17
Danny Trevathan,0,1.36157048222379e-18,17
Danny Vitale,1.51730823934977,0.237391797894933,17
Dante Fowler Jr. O,0,1.36157048222379e-18,17
Dante Pettis,0.892033542657564,0.331927076710423,17
Dare Ogunbowale,6.54532557255842,0.571733119202666,17
Daren Bates,0,1.36157048222379e-18,17
Darian Stewart,0,1.36157048222379e-18,17
Darious Williams,0,1.36157048222379e-18,17
Darius Jennings,0.316483434336933,0.133499482454743,17
Darius Leonard,0,1.36157048222379e-18,17
Darius Slay Q,0,1.36157048222379e-18,17
Darius Slayton,2.72086636746858,0.659087704394178,17
Darnell Savage,0,1.36157048222379e-18,17
Daron Payne,0,1.36157048222379e-18,17
Darrel Williams,2.26428509176947,0.315747667371113,17
Darrell Daniels,0,1.30494510942522,17
Darrell Henderson Jr. Q,0.696980486324181,0.25038668002572,17
Darren Fells,8.47531840504685,0.228620957647287,17
Darren Sproles,0,1.4205040297229,17
Darren Waller,16.3451687179279,0.302512756656216,17
Darron Lee,0,1.36157048222379e-18,17
Darryl Roberts IR,0,1.36157048222379e-18,17
Darwin Thompson,3.471151007513,0.516182205434641,17
Daryl Worley,0,1.36157048222379e-18,17
Davante Adams,32.8649392757482,1.77212289824895,17
David Blough,13.6280725372372,1.88559091755292,17
David Johnson Q,10.6413496357491,0.167696159694287,17
David Montgomery Q,3.38565890645135,0.894115772705599,17
David Moore,4.39588193670621,0.24135321969174,17
David Njoku,0,1.21909651798296,17
Davon Godchaux IR,0,1.36157048222379e-18,17
Dawson Knox,3.61647182798406,0.306781139064838,17
Dawuane Smoot,0,1.36157048222379e-18,17
De'Anthony Thomas,0,0.250000168280809,17
De'Lance Turner,0.600000007593015,3.75000005062009,17
De'Vante Bausby,0,1.36157048222379e-18,17
De'Vondre Campbell,0,1.36157048222379e-18,17
DeAndre Baker,0,1.36157048222379e-18,17
DeAndre Carter,5.43269277255667,2.20495320636417,17
DeAndre Hopkins,5.83219023964085,1.27896661075144,17
DeAndre Washington,23.1601695376817,2.75283297596576,17
DeAndrew White IR,2.0615385668923,2.63679632726519,17
DeForest Buckner,0,1.36157048222379e-18,17
DeMarcus Lawrence,0,1.36157048222379e-18,17
DeMarcus Walker,0,1.36157048222379e-18,17
DeSean Jackson IR,0,1.28919822371417,17
DeShon Elliott,0,1.36157048222379e-18,17
DeVante Parker,21.7694511104564,0.738878934016757,17
Dean Lowry,0,1.36157048222379e-18,17
Deatrich Wise Jr. Q,0,1.36157048222379e-18,17
Dede Westbrook IR,3.4108986901633,0.75078084481429,17
Dee Ford IR,0,1.36157048222379e-18,17
Dee Virgin,0,1.36157048222379e-18,17
Deebo Samuel,2.60128539898408,1.03573546490017,17
Deion Jones,0,1.36157048222379e-18,17
Delanie Walker,0,0.868128048511482,17
Demarcus Robinson,6.30757258952709,0.042496054525709,17
Demario Davis,0,1.36157048222379e-18,17
Demaryius Thomas,0,1.91675357546788,17
Demetrius Harris,5.54450778910603,0.727557744598378,17
Denico Autry,0,1.36157048222379e-18,17
Denver Broncos,10.2445348641341,0.686151138855878,17
Denzel Ward,0,1.36157048222379e-18,17
Deon Cain,1.55576471154991,0.119241852562204,17
Deon Lacey,0,1.36157048222379e-18,17
Deon Yelder,0.835165617321709,0.208989264901217,17
Deonte Harris,2.6203296565479,1.06123110038123,17
Derek Barnett,0,1.36157048222379e-18,17
Derek Carr,20.4759375330023,0.912694672164285,17
Derek Carrier,3.5552184812115,0.581237958217122,17
Derek Watt,1.75879098284193,0.545750443930838,17
Derek Wolfe,0,1.36157048222379e-18,17
Derrick Henry,0,2.75081076590639,17
Derrick Nnadi,0,1.36157048222379e-18,17
Derrius Guice,0,1.52024431401095,17
Deshaun Watson,21.1183563782543,0.0385420245209143,17
Deshazor Everett,0,1.36157048222379e-18,17
Desmond King II,1.10439675667316,0.486264504448774,17
Detroit Lions,5.79669116197404,0.162669990865237,17
Devin Bush IR,0,1.36157048222379e-18,17
Devin Funchess,0,1.25000124144458,17
Devin McCourty,0,1.36157048222379e-18,17
Devin Singletary,0,1.88991623321886,17
Devin Smith,0.842846253010931,0.12920735838264,17
Devin White,0,1.36157048222379e-18,17
Devlin Hodges,6.49471945686427,0.585042127566975,17
Devon Kennard,0,1.36157048222379e-18,17
Devonta Freeman O,46.8173668875517,3.58073957761172,17
Devontae Booker,1.55769222114523,0.826549815163185,17
Dexter Lawrence,0,1.36157048222379e-18,17
Dion Lewis,13.8057687759182,2.97323507316792,17
Diontae Johnson,30.2131868916756,2.55777295419139,17
Diontae Spencer,0.0123631415920471,0.501626013887926,17
Dominique Rodgers-Cromartie,0,1.36157048222379e-18,17
Dont'a Hightower,0,1.36157048222379e-18,17
Dontari Poe,0,1.36157048222379e-18,17
Dontavius Russell IR,0,1.36157048222379e-18,17
Donte Jackson,0,1.36157048222379e-18,17
Donte Moncrief,0,1.00090996084426,17
Dontrell Hilliard,1.14010455422627,0.305090440023978,17
Dontrelle Inman O,7.63873537458355,1.77328999695919,17
Dorance Armstrong,0,1.36157048222379e-18,17
Dorian O'Daniel,0,1.36157048222379e-18,17
Dre Greenlaw,0,1.36157048222379e-18,17
Dre Kirkpatrick O,0,1.36157048222379e-18,17
Drew Brees,21.0492442478449,0.497176695100968,17
Drew Lock,19.2134455428155,1.9305479132109,17
Drew Sample,0,0.618184628353572,17
Drue Tranquill IR,0,1.36157048222379e-18,17
Duke Johnson,0,1.60952882876714,17
Duke Williams,2.34203685038695,0.376399609695157,17
Durham Smythe Q,3.67225214336489,2.08746712012811,17
Duron Harmon,0,1.36157048222379e-18,17
Dustin Hopkins,3.22800343508135,0.616644341425093,17
Dwayne Harris,0,1.25000071582575,17
Dwayne Haskins Jr.,17.2968094487525,1.75171948107463,17
Dwayne Washington,0.75164875643757,0.267108928429505,17
Dylan Cole,0,1.36157048222379e-18,17
Earl Thomas III,0,1.36157048222379e-18,17
Ed Oliver,0,1.36157048222379e-18,17
Eddie Goldman,0,1.36157048222379e-18,17
Eddie Jackson,0,1.36157048222379e-18,17
Eddy Piñeiro IR,7.49998868154123,0.479089353519323,17
Efe Obada,0,1.36157048222379e-18,17
Eli Apple,0,1.36157048222379e-18,17
Eli Manning,5.73849590638887,0.247141132044158,17
Elijhaa Penny,0.963461800578234,0.587733891869209,17
Emmanuel Moseley,0,1.36157048222379e-18,17
Emmanuel Ogbah,0,1.36157048222379e-18,17
Emmanuel Sanders,6.11239270587066,0.542631843900504,17
Eric Ebron,0,1.65214795156694,17
Eric Kendricks,0,1.36157048222379e-18,17
Eric Reid,0,1.36157048222379e-18,17
Eric Rowe,0,1.36157048222379e-18,17
Eric Saubert,2.10000005757635,3.75000010966923,17
Eric Tomlinson,0.0302198330301271,0.140109698072265,17
Eric Weddle,0,1.36157048222379e-18,17
Eric Wilson,0,1.36157048222379e-18,17
Erik Harris,0.073626378313786,0.486263783137859,17
Evan Engram,0,1.04739902742594,17
Everson Griffen,0,1.36157048222379e-18,17
Ezekiel Elliott,30.2597991938351,1.36209329413066,17
Ezekiel Turner,0,1.36157048222379e-18,17
Fletcher Cox,0,1.36157048222379e-18,17
Foster Moreau,0.634614509543505,0.811651068781709,17
Foyesade Oluokun,0,1.36157048222379e-18,17
Frank Clark,0,1.36157048222379e-18,17
Frank Gore,3.00025309360646,0.47209487967893,17
Frankie Luvu IR,0,1.36157048222379e-18,17
Fred Brown,0,0.377424502599966,17
Fred Warner,0,1.36157048222379e-18,17
Gardner Minshew II O,28.0948895986675,1.66751288037635,17
Gareon Conley IR,0,1.36157048222379e-18,17
Geno Atkins,0,1.36157048222379e-18,17
Geoff Swaim,0.200822774447619,0.519348935399713,17
George Kittle IR,30.1754941586355,1.73401736750812,17
George Odum,0,1.36157048222379e-18,17
Gerald Everett,2.64426212965075,0.435058351528411,17
Gerald McCoy,0,1.36157048222379e-18,17
Geremy Davis,1.16813235348373,0.604752532604508,17
Germaine Pratt,0,1.36157048222379e-18,17
Geronimo Allison,6.325550368754,0.454877552651187,17
Giovani Bernard,4.97554585383519,0.294795579602096,17
Golden Tate O,14.2344666014703,0.621884924318756,17
Grady Jarrett,0,1.36157048222379e-18,17
Grant Haley,0,1.36157048222379e-18,17
Greedy Williams IR,0,1.36157048222379e-18,17
Green Bay Packers,15.4367942015414,1.68853438490756,17
Greg Joseph,4.00000019167973,3.75000019167973,17
Greg Olsen,0,1.33110253995761,17
Greg Ward,19.8733514366142,2.89764777231397,17
Greg Zuerlein,7.87085898096272,0.0634802958074283,17
Grover Stewart,0,1.36157048222379e-18,17
Gunner Olszewski,0.652748323756848,0.233517276856925,17
Gus Edwards,3.4741571210495,0.363314313275183,17
Ha Ha Clinton-Dix,0,1.36157048222379e-18,17
Haason Reddick,0,1.36157048222379e-18,17
Hale Hentges,10.3593414256817,3.49202051800402,17
Harold Landry III,0,1.36157048222379e-18,17
Harrison Butker,8.47798424363857,0.292679747897015,17
Harrison Smith,0,1.36157048222379e-18,17
Harvey Langi,0,1.36157048222379e-18,17
Hassan Ridgeway IR,0,1.36157048222379e-18,17
Hayden Hurst,4.12113944330337,0.086930764361964,17
Henry Anderson,0,1.36157048222379e-18,17
Houston Texans,26.0412235380438,3.00665544667635,17
Hunter Henry,4.39124225731662,0.482785018981894,17
Hunter Renfrow,17.1134929119,1.27584003039052,17
Ian Thomas,8.24779888272472,1.39685486467931,17
Indianapolis Colts,25.1263743609024,2.54944129885942,17
Irv Smith Jr.,3.27280531138379,0.384014713035952,17
Isaac Nauta,1.18571426753692,1.69489365689769,17
Isaac Yiadom,0,1.36157048222379e-18,17
Isaiah Ford,17.0950561263071,3.18730886129002,17
Isaiah Mack,0,1.36157048222379e-18,17
Isaiah McKenzie,1.23625651641879,0.69207277956351,17
Isaiah Oliver,0,1.36157048222379e-18,17
Ishmael Hyman,4.75000010666486,4.18470534553472,17
Ito Smith,3.22801827262264,0.246323378287779,17
J.C. Jackson Q,0,1.36157048222379e-18,17
J.D. McKissic,0,2.59976516274221,17
J.J. Arcega-Whiteside,3.70192139973657,0.571727682484624,17
J.J. Jansen,0,1.36157048222379e-18,17
J.J. Nelson,1.94285565089119,0.321428132615057,17
J.J. Watt,0,1.36157048222379e-18,17
J.P. Holtz,4.79340665046451,1.71075388089471,17
Ja'Whaun Bentley Q,0,1.36157048222379e-18,17
Jabrill Peppers,0,1.36157048222379e-18,17
Jack Crawford,0,1.36157048222379e-18,17
Jack Doyle Q,1.37580767071309,1.0602578332537,17
Jacksonville Jaguars,7.54122318796142,0.259214644190488,17
Jacob Hollister,4.79313878664549,0.09821217898903,17
Jacob Martin,0,1.36157048222379e-18,17
Jacoby Brissett,19.5058568011809,0.564368111188948,17
Jadeveon Clowney O,0,1.36157048222379e-18,17
Jaeden Graham,0,1.43975963392042,17
Jahlani Tavai,0,1.36157048222379e-18,17
Jahleel Addae,0,1.36157048222379e-18,17
Jaire Alexander Q,0,1.36157048222379e-18,17
Jake Elliott,6.69779694469392,0.207256955574809,17
Jake Kumerow,2.5524786211328,0.0440884548794854,17
Jake McQuaide,0,1.36157048222379e-18,17
Jakeem Grant Sr.,0,1.80234715454331,17
Jakob Johnson,0.276098936288642,0.486263830103045,17
Jakobi Meyers,4.11043766264056,0.061352537078118,17
Jaleel Johnson,0,1.36157048222379e-18,17
Jalen Ramsey Q,0,1.36157048222379e-18,17
Jalen Reeves-Maybin,0,1.36157048222379e-18,17
Jalen Richard,5.85302134788229,0.350986700813365,17
Jamaal Williams,3.95962577497283,0.705298668830825,17
Jamal Adams,0,1.36157048222379e-18,17
Jamal Agnew O,6.85714314896564,2.97998072229135,17
Jamal Perry O,0,1.36157048222379e-18,17
Jameis Winston,31.116702925814,0.833940899434604,17
James Bradberry,0,1.36157048222379e-18,17
James Conner,17.6989275495505,0.776960993812491,17
James Crawford,0,1.36157048222379e-18,17
James Develin,0,0.25000005125953,17
James O'Shaughnessy,2.94203071602774,0.0900743399526195,17
James Washington,1.65242377552956,0.948036638026424,17
James White,10.2155661388731,0.186598666716173,17
Jamie Collins Sr.,0,1.36157048222379e-18,17
Jamison Crowder Q,6.66688474196853,0.504934249290946,17
Janoris Jenkins,0,1.36157048222379e-18,17
Jaquiski Tartt Q,0,1.36157048222379e-18,17
Jared Cook,22.8958523871426,1.6955251536706,17
Jared Goff,37.0812236594653,2.21318286212078,17
Jarius Wright,5.07417245112822,0.58395432649794,17
Jaron Brown,6.5022099691991,0.684593393853685,17
Jarrod Wilson,0,1.36157048222379e-18,17
Jarvis Landry,2.92269184886946,1.17562139074795,17
Jason McCourty,0,1.36157048222379e-18,17
Jason Moore,0.761539857782779,0.233517370020812,17
Jason Myers,9.60165113813536,0.692696158636579,17
Jason Pierre-Paul,0,1.36157048222379e-18,17
Jason Sanders,9.18321139310373,0.405659484108393,17
Jason Witten,6.72852799119977,0.346466549675568,17
Javien Elliott,0,1.36157048222379e-18,17
Javon Wims SUS,6.45000285078809,1.0895958679841,17
Javorius Allen,4.36373625072002,1.7256027415887,17
Jay Ajayi,0,1.21669707557484,17
Jaylen Samuels,2.93734549038351,0.486082183913635,17
Jaylen Watkins,0,1.36157048222379e-18,17
Jaylon Smith,0,1.36157048222379e-18,17
Jayon Brown,0,1.36157048222379e-18,17
Jayron Kearse,0,1.36157048222379e-18,17
Jeff Driskel,0,2.21777469955404,17
Jeff Heath,0,1.36157048222379e-18,17
Jeff Heuerman,5.07884418978613,1.20133678540094,17
Jeff Smith,1.10000000089968,1.75000000163578,17
Jeff Wilson Jr. IR,0,0.838673077872744,17
Jeremy Sprinkle,3.01071389150266,0.0867270258239076,17
Jermaine Carter,0,1.36157048222379e-18,17
